entity_id,state,last_changed
sensor.xcel_itron_5_instantaneous_demand_value,501,2024-10-02T05:00:00.000Z
sensor.xcel_itron_5_instantaneous_demand_value,503,2024-10-02T05:00:03.419Z
sensor.xcel_itron_5_instantaneous_demand_value,504,2024-10-02T05:00:09.049Z
sensor.xcel_itron_5_instantaneous_demand_value,500,2024-10-02T05:00:20.347Z
sensor.xcel_itron_5_instantaneous_demand_value,499,2024-10-02T05:00:25.964Z
sensor.xcel_itron_5_instantaneous_demand_value,501,2024-10-02T05:00:31.683Z
sensor.xcel_itron_5_instantaneous_demand_value,502,2024-10-02T05:00:43.155Z
sensor.xcel_itron_5_instantaneous_demand_value,500,2024-10-02T05:00:48.782Z
sensor.xcel_itron_5_instantaneous_demand_value,501,2024-10-02T05:00:54.447Z
sensor.xcel_itron_5_instantaneous_demand_value,503,2024-10-02T05:01:00.137Z
sensor.xcel_itron_5_instantaneous_demand_value,502,2024-10-02T05:01:11.745Z
sensor.xcel_itron_5_instantaneous_demand_value,500,2024-10-02T05:01:17.763Z
sensor.xcel_itron_5_instantaneous_demand_value,499,2024-10-02T05:01:23.437Z
sensor.xcel_itron_5_instantaneous_demand_value,510,2024-10-02T05:01:29.052Z
sensor.xcel_itron_5_instantaneous_demand_value,508,2024-10-02T05:01:34.768Z
sensor.xcel_itron_5_instantaneous_demand_value,506,2024-10-02T05:01:40.494Z
sensor.xcel_itron_5_instantaneous_demand_value,511,2024-10-02T05:01:46.280Z
sensor.xcel_itron_5_instantaneous_demand_value,523,2024-10-02T05:01:52.066Z
sensor.xcel_itron_5_instantaneous_demand_value,528,2024-10-02T05:01:57.827Z
sensor.xcel_itron_5_instantaneous_demand_value,533,2024-10-02T05:02:03.637Z
sensor.xcel_itron_5_instantaneous_demand_value,530,2024-10-02T05:02:09.268Z
sensor.xcel_itron_5_instantaneous_demand_value,529,2024-10-02T05:02:20.676Z
sensor.xcel_itron_5_instantaneous_demand_value,530,2024-10-02T05:02:26.495Z
sensor.xcel_itron_5_instantaneous_demand_value,529,2024-10-02T05:02:32.130Z
sensor.xcel_itron_5_instantaneous_demand_value,530,2024-10-02T05:02:38.045Z
sensor.xcel_itron_5_instantaneous_demand_value,531,2024-10-02T05:02:44.087Z
sensor.xcel_itron_5_instantaneous_demand_value,530,2024-10-02T05:02:50.024Z
sensor.xcel_itron_5_instantaneous_demand_value,531,2024-10-02T05:02:56.076Z
sensor.xcel_itron_5_instantaneous_demand_value,530,2024-10-02T05:03:01.987Z
sensor.xcel_itron_5_instantaneous_demand_value,529,2024-10-02T05:03:07.639Z
sensor.xcel_itron_5_instantaneous_demand_value,533,2024-10-02T05:03:13.318Z
sensor.xcel_itron_5_instantaneous_demand_value,535,2024-10-02T05:03:19.237Z
sensor.xcel_itron_5_instantaneous_demand_value,691,2024-10-02T05:03:25.353Z
sensor.xcel_itron_5_instantaneous_demand_value,699,2024-10-02T05:03:30.972Z
sensor.xcel_itron_5_instantaneous_demand_value,716,2024-10-02T05:03:54.538Z
sensor.xcel_itron_5_instantaneous_demand_value,740,2024-10-02T05:04:00.182Z
sensor.xcel_itron_5_instantaneous_demand_value,728,2024-10-02T05:04:05.952Z
sensor.xcel_itron_5_instantaneous_demand_value,726,2024-10-02T05:04:11.670Z
sensor.xcel_itron_5_instantaneous_demand_value,725,2024-10-02T05:04:17.410Z
sensor.xcel_itron_5_instantaneous_demand_value,722,2024-10-02T05:04:23.209Z
sensor.xcel_itron_5_instantaneous_demand_value,725,2024-10-02T05:04:29.047Z
sensor.xcel_itron_5_instantaneous_demand_value,723,2024-10-02T05:04:35.499Z
sensor.xcel_itron_5_instantaneous_demand_value,726,2024-10-02T05:04:41.339Z
sensor.xcel_itron_5_instantaneous_demand_value,719,2024-10-02T05:04:47.178Z
sensor.xcel_itron_5_instantaneous_demand_value,717,2024-10-02T05:04:53.178Z
sensor.xcel_itron_5_instantaneous_demand_value,716,2024-10-02T05:04:59.048Z
sensor.xcel_itron_5_instantaneous_demand_value,713,2024-10-02T05:05:04.702Z
sensor.xcel_itron_5_instantaneous_demand_value,710,2024-10-02T05:05:10.620Z
sensor.xcel_itron_5_instantaneous_demand_value,709,2024-10-02T05:05:16.564Z
sensor.xcel_itron_5_instantaneous_demand_value,708,2024-10-02T05:05:22.395Z
sensor.xcel_itron_5_instantaneous_demand_value,707,2024-10-02T05:05:39.907Z
sensor.xcel_itron_5_instantaneous_demand_value,706,2024-10-02T05:05:45.848Z
sensor.xcel_itron_5_instantaneous_demand_value,707,2024-10-02T05:05:57.514Z
sensor.xcel_itron_5_instantaneous_demand_value,705,2024-10-02T05:06:03.768Z
sensor.xcel_itron_5_instantaneous_demand_value,706,2024-10-02T05:06:09.616Z
sensor.xcel_itron_5_instantaneous_demand_value,707,2024-10-02T05:06:15.241Z
sensor.xcel_itron_5_instantaneous_demand_value,713,2024-10-02T05:06:21.379Z
sensor.xcel_itron_5_instantaneous_demand_value,710,2024-10-02T05:06:27.026Z
